Entity,Code_x,Year_x,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_x,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_x,change in depression,change in suicide,,Year_y,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_y,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_y,population,Continent_y
Rwanda,RWA,1990,22.16843796,4147.957893,-0.345133134,-1.87413562,,2017,10.95083997,3761.426512,11980960,
Saint Barthlemy,,1990,,,#DIV/0!,#DIV/0!,,2017,,,9788,
Saint Helena,SHN,1990,,,#DIV/0!,#DIV/0!,,2017,,,6008,
Saint Kitts and Nevis,KNA,1990,,,#DIV/0!,#DIV/0!,,2017,,,52036,
Saint Lucia,LCA,1990,8.267145725,2694.819247,0.016254127,-0.611346125,,2017,6.902542099,2706.645769,180955,
Saint Martin (French part),MAF,1990,,,#DIV/0!,#DIV/0!,,2017,,,36569,
Saint Pierre and Miquelon,SPM,1990,,,#DIV/0!,#DIV/0!,,2017,,,5885,
Saint Vincent and the Grenadines,VCT,1990,6.629428911,2668.566898,0.109201683,0.328074278,,2017,7.216664089,2747.248137,109826,
Samoa,WSM,1990,15.35299144,3058.630046,-0.130213529,-1.290916984,,2017,10.00174334,2951.095793,195358,
San Marino,SMR,1990,,,#DIV/0!,#DIV/0!,,2017,,,33671,
Sao Tome and Principe,STP,1990,2.700418618,3124.686623,-0.072922809,1.148146282,,2017,3.537547029,3063.164173,207086,
Saudi Arabia,SAU,1990,2.409897882,3376.280536,0.001748807,0.826833205,,2017,2.947895451,3377.874741,33101182,
Scotland,,1990,12.85845776,4034.653047,-0.172875804,-0.570287498,,2017,10.87854298,3846.329697,,
Senegal,SEN,1990,13.08396813,3311.966454,0.00750716,-0.046974117,,2017,12.91802401,3318.679589,15419354,
Serbia,SRB,1990,19.43127557,2627.966102,-0.267157702,-1.287950254,,2017,12.67411617,2438.404128,8829623,
Seychelles,SYC,1990,15.18712992,2871.376732,-0.171953963,-1.747899285,,2017,8.019825067,2738.065688,96418,
